"site_no","station_name","latitude","longitude","parameter","minyear","maxyear","difference","num_years","rate"
"01302250","EAST CREEK AT SANDS POINT NY",40.8662222,-73.7101944,"00010","2008","2019",0.523600233497106,11,0.0476000212270097
"01302250","EAST CREEK AT SANDS POINT NY",40.8662222,-73.7101944,"62619","2008","2019",0.112591044119265,11,0.0102355494653877
"01302250","EAST CREEK AT SANDS POINT NY",40.8662222,-73.7101944,"90860","2008","2019",0.251985260941495,11,0.0229077509946814
"01302600","WEST POND AT GLEN COVE NY",40.88855556,-73.638,"62619","2010","2019",0.152419428719589,9,0.0169354920799543
"01302845","FROST CREEK AT SHEEP LN BRIDGE AT LATTINGTOWN NY",40.9051111,-73.5931944,"00010","2008","2019",-0.0909680875487862,11,-0.00826982614079874
"01302845","FROST CREEK AT SHEEP LN BRIDGE AT LATTINGTOWN NY",40.9051111,-73.5931944,"62619","2008","2019",-0.333127030466352,11,-0.0302842754969411
"01302845","FROST CREEK AT SHEEP LN BRIDGE AT LATTINGTOWN NY",40.9051111,-73.5931944,"90860","2008","2019",-0.47485935000585,11,-0.0431690318187137
"01304057","FLAX POND AT OLD FIELD NY",40.9628611,-73.1431667,"00010","2008","2017",0.281142208949696,9,0.0312380232166329
"01304057","FLAX POND AT OLD FIELD NY",40.9628611,-73.1431667,"00300","2009","2017",-0.194352233400094,8,-0.0242940291750118
"01304057","FLAX POND AT OLD FIELD NY",40.9628611,-73.1431667,"62619","2008","2019",0.362685976734051,11,0.0329714524303682
"01304057","FLAX POND AT OLD FIELD NY",40.9628611,-73.1431667,"63680","2009","2017",0.774519104288212,8,0.0968148880360266
"01304057","FLAX POND AT OLD FIELD NY",40.9628611,-73.1431667,"90860","2009","2017",1.12877515742684,8,0.141096894678356
"01304200","ORIENT HARBOR AT ORIENT NY",41.13663889,-72.30675,"00010","2013","2019",0.646976875165651,6,0.107829479194275
"01304200","ORIENT HARBOR AT ORIENT NY",41.13663889,-72.30675,"00300","2013","2019",0.128186453696593,6,0.0213644089494321
"01304200","ORIENT HARBOR AT ORIENT NY",41.13663889,-72.30675,"62619","2013","2019",0.23958904109589,6,0.0399315068493151
"01304200","ORIENT HARBOR AT ORIENT NY",41.13663889,-72.30675,"63680","2013","2019",1.84975479545596,6,0.308292465909326
"01304200","ORIENT HARBOR AT ORIENT NY",41.13663889,-72.30675,"90860","2013","2019",-1.22397587590401,6,-0.203995979317336
