"site_no","parameter","mean"
"01302250","00010",13.5479074117372
"01302250","62619",3.97404551788203
"01302250","90860",24.9661596958175
"01302600","62619",2.1128022875817
"01302845","00010",12.936386535379
"01302845","62619",1.93407188353048
"01302845","90860",24.0853077279037
"01304057","00010",12.5317761678741
"01304057","00300",9.06304275770633
"01304057","62619",2.05915748393021
"01304057","63680",5.21630757800891
"01304057","90860",27.0252747252747
"01304200","00010",13.0356884785227
"01304200","00300",9.01165444172779
"01304200","62619",0.917062084257206
"01304200","63680",5.03019906819144
"01304200","90860",29.3447583947584
"01304562","00010",14.1869616752272
"01304562","00300",7.58802083333333
"01304562","62361",16.601703163017
"01304562","62619",0.844392523364486
"01304562","63680",9.51158940397351
"01304562","90860",25.9070231444533
"01304746","62619",1.12027895181741
"01304920","62619",1.25873571428571
"01305575","62619",1.316712
"01306402","00010",14.7023
"01306402","62619",1.56635
"01306402","90860",26.0069
"01309225","62619",1.30668494438352
"01310521","62619",1.17736114874018
"01310740","00010",12.9635457792818
"01310740","00300",8.69901448109413
"01310740","62361",6.80376811594203
"01310740","62619",1.13015681393902
"01310740","63680",4.67936148300721
"01310740","90860",30.9516867232196
"01311143","00010",13.5940590879897
"01311143","00300",8.70268001291572
"01311143","62361",13.1363543788187
"01311143","62619",1.39832691738229
"01311143","63680",3.30296836982968
"01311143","90860",29.4643268904713
"01311145","62619",0.995855969677827
"01311850","62619",1.02933176470588
"01311875","00010",12.7977302204929
"01311875","62619",1.02632692001908
"01311875","63680",2.78794926004228
"01311875","90860",29.2421397379913
"01376562","62619",1.40046248715313
